活动名称,活动类型,活动类型2,活动说明,报名还剩
百亿补贴竞价活动,百亿补贴,单品直降,百亿补贴为全新高流量低价频道，平台与商家共同打造极致性价比的低价爆品，助力商品转化。,长期可报名
单品秒杀,京东秒杀,单品直降,活动开始前2天出审核结果，审核通过后获得单品秒杀资源，进入秒杀频道获得曝光,长期可报名
2025年京东超市黑色星期五第41期主题活动,营销活动,大促,参与重量级大促活动，获取更多流量曝光。,11小时
2025年京东超市黑色星期五第43期主题活动,营销活动,大促,参与重量级大促活动，获取更多流量曝光。,14天11小时
PLUS专享立减开放化提报,PLUS会员,流量扶持,流量支持：享专属权益展示方案，涵盖搜索推荐、商详、购物车等非中心场。,长期可报名
便宜包邮-新品收品池,便宜包邮,单品直降,,长期可报名
便宜包邮-长期资源位,便宜包邮,单品直降,,长期可报名
便宜包邮-1元收品池,便宜包邮,单品直降,低报名门槛，无销量、评价等门槛卡控，享受降扣且不计入平均成交价。货值不低于1元的商品可提报，要求提报价等于1元。,长期可报名
【京东买药9周年庆】4.15~4.18跨店每满300-50,营销活动,大促,【京东买药9周年庆】4.15晚8-4.18跨店满减每满300-50，参与重量级大促活动，获取更多流量曝光,04小时
营养保健【买药周年庆】-满799-80-4月11日-4月18日,营销活动,优惠券,营养保健【买药周年庆】-满799-80-4月11日-4月18日,10小时
营养保健【买药周年庆】-满399-50-4月11日-4月18日,营销活动,优惠券,营养保健【买药周年庆】-满399-50-4月11日-4月18日,10小时
营养保健【买药周年庆】-满799-80-4月11日-4月18日,营销活动,优惠券,营养保健【买药周年庆】-满799-80-4月11日-4月18日,10小时
2025年京东买药9周年庆主题活动,营销活动,大促,参与重量级大促活动，获取更多流量曝光。,11小时
2025年京东4月超级18主题活动,营销活动,大促,参与重量级大促活动，获取更多流量曝光。,11小时
【三类货】新人单单返权益收品池2,营销活动,优惠券,【三类货】新人单单返权益收品池2,11小时
【直播特卖】会场,京东直播,流量扶持,{直播特卖}会场在频道tab出现。,01天11小时
【京东送礼】跨店满减每满200-20,营销活动,总价促销,【京东送礼】跨店满减每满200-20,02天05小时
【京东送礼】送礼9折,营销活动,总价促销,【京东送礼】送礼9折,02天05小时
【同仁堂超品日】4.20晚八-4.21每满300减60,营销活动,大促,北京同仁堂超级品牌日每满300减60,02天06小时
2025年京东超市黑色星期五第42期主题活动,营销活动,大促,参与重量级大促活动，获取更多流量曝光。,07天11小时
,营销活动,优惠券,【京东年度账单活动请提报这个！】健康品类券满11.03减10,12天10小时
2025年京东五一放价季官方立减活动,营销活动,大促,2025年五一放价季官方立减活动,
2025年京东五一放价季送礼专享85折,营销活动,大促,2025年京东五一放价季平台级促销权益,17天04小时
2025年京东五一放价季跨店满减每满200减30,营销活动,大促,2025年京东五一放价季平台级促销权益,17天04小时
营养保健【出游】-满399-50-4月19日-5月5日,营销活动,优惠券,营养保健【出游】-满399-50-4月19日-5月5日,17天10小时
营养保健【出游】-满799-80-4月19日-5月5日,营销活动,优惠券,营养保健【出游】-满799-80-4月19日-5月5日,17天10小时
2025年京东五一放价季主题活动,营销活动,大促,参与重量级大促活动，获取更多流量曝光。,17天11小时
,京东直播,流量扶持,Q1商家促开播政策报名入口（请使用店铺主账号报名，并检查主播ID PIN信息正确）,71天11小时
,营销活动,总价促销,商超日销总价促销，用以提升内部跨品类渗透及拉动销售,73天04小时
,营销活动,总价促销,京东各个事业部拉通业务总促力度活动，最大化地让用户在品类之间可以进行流转，促进用户买多件。,73天04小时
,营销活动,总价促销,京东各个事业部拉通业务总促力度活动，最大化地让用户在品类之间可以进行流转，促进用户买多件。,73天04小时
,营销活动,总价促销,京东各个事业部拉通业务总促力度活动，最大化地让用户在品类之间可以进行流转，促进用户买多件。,73天04小时
,营销活动,总价促销,商超日销总价促销，用以提升内部跨品类渗透及拉动销售,73天04小时
【4-6月】健康微信域渠道渗透券满3减2,营销活动,优惠券,【4-6月】健康微信域渠道渗透券满3减2,73天09小时
【4-6月】健康微信域渠道渗透券满5减4,营销活动,优惠券,【4-6月】健康微信域渠道渗透券满5减4,73天09小时
采销直播间,京东直播,流量扶持,京东服饰美妆采销直播间，明星场次及大促场次货品TAB供品,长期可报名
PLUS精选直播间【1号店】收品池,京东直播,流量扶持,PLUS精选直播间【1号店】收品池,长期可报名
免费试用,京东试用,流量扶持,精准圈中目标用户，进行试用品在各触点的零元派发，用户领取即可试用。,长期可报名
付费试用,京东试用,流量扶持,,长期可报名
家群采销探厂直播选品提报池,京东直播,流量扶持,该资源位用于家群采销探厂直播项目货品提报，面向各探厂合作品牌，定向征集。,长期可报名
PLUS精选直播间【华东区域】收品池,京东直播,流量扶持,PLUS精选直播间【华东区域】收品池,长期可报名
【万人团】长期爆品池,微信渠道,单品直降,微信域核心频道，主要阵地位于微信的京东购物小程序内百宝箱，百万曝光量级,长期可报名
PLUS精选直播间【华东区域】收品池,京东直播,流量扶持,PLUS精选直播间【华东区域】收品池,长期可报名
【万人团】长期爆品池,微信渠道,单品直降,微信域核心频道，主要阵地位于微信的京东购物小程序内百宝箱，百万曝光量级,长期可报名
